Класс,Тема,Вопрос,Вариант 1,Вариант 2,Вариант 3,Вариант 4,Правильный ответ,Решение,Изображение,Активно
8,Геометрия: равнобедренная трапеция,Решите задание на изображении.,145,150,155,160,3,"Два равных меньших угла дают 50°, поэтому каждый равен 25°. Больший угол: 180° − 25° = 155°.",https://drive.google.com/uc?export=view&id=1JebFiwgv4KQ_-5cXl7Oc_WsEdH6kuf00,Да
8,Дроби,Решите задание на изображении.,"1,1","1,9","2,1","2,25",3,"1/4 + 37/20 = 5/20 + 37/20 = 42/20 = 2,1.",https://drive.google.com/uc?export=view&id=1AEiC2MEjijURD0WibihU1btyNgcLzsiS,Да
8,Квадратные корни,Выберите правильный вариант на изображении.,√41,√48,√53,√63,3,"√53 ≈ 7,28, что соответствует положению точки A.",https://drive.google.com/uc?export=view&id=1AYqjfpz18meXdnJDyrutZvCNusZboG2V,Да
8,Квадратное уравнение,Решите задание на изображении.,−3,0,3,9,3,"x²=9, поэтому x=−3 или x=3. Больший корень равен 3.",https://drive.google.com/uc?export=view&id=1bzKioQ3hQw0D6TO1p9sLxfGywn5Ab_Lq,Да
8,Квадратные корни,Выберите правильный вариант на изображении.,4 и 5,29 и 31,9 и 10,88 и 90,3,"81<89<100, поэтому 9<√89<10.",https://drive.google.com/uc?export=view&id=1_lZb_D9ONp5HkZeqMX_DJrOn4V0XeoaJ,Да
9,Геометрия: равносторонний треугольник,Решите задание на изображении.,6,9,12,18,3,"r=a√3/6, поэтому a=2r√3=12.",https://drive.google.com/uc?export=view&id=1RfI75X-bD7_la90_E52IeFayNpFhp_wJ,Да
9,Вероятность,Решите задание на изображении.,"0,05","0,5","0,9","0,95",4,"Выучено 19 билетов из 20: 19/20=0,95.",https://drive.google.com/uc?export=view&id=179UJBJgyEy8j0VAbIPdopOw1LHFDHUT1,Да
9,Квадратичная функция,Установите соответствие на изображении.,312,321,132,213,1,"A: a>0 и c<0 — 3; Б: a<0 и c>0 — 1; В: a>0 и c>0 — 2.",https://drive.google.com/uc?export=view&id=1uf_LzTRYy7HdXIsUCcXMMwjvrGAO8Gmd,Да
9,Иррациональное уравнение,Решите задание на изображении.,−5,5,8,−5 и 8,1,"Радикалы сокращаются. Корни x²−3x−40=0 равны −5 и 8, но по ОДЗ x≤6. Ответ −5.",https://drive.google.com/uc?export=view&id=1pgOgX0drZz7wOE7ZNj5isOtMXBTwJjI0,Да
9,Квадратное неравенство,Выберите правильный вариант на изображении.,1,2,3,4,1,"4x−x²≤0 при x≤0 или x≥4. Это вариант 1.",https://drive.google.com/uc?export=view&id=1sCM1RJl-jcTnkbAPp0cTbyKphKO18Pqj,Да
10,Показательная функция,Решите задание на изображении.,0,1,2,4,1,"При t=eˣ выражение равно (t−2)². Минимум 0 достигается при x=ln2.",https://drive.google.com/uc?export=view&id=1x5Cmkf0_NQMAoXH2sZB5KBuseOGXzY4U,Да
10,Степени,Решите задание на изображении.,4,8,16,32,2,"2^(−3+19−13)=2³=8.",https://drive.google.com/uc?export=view&id=11BobXU0-1goEfo_6wNnpW5kJ3iyjWfqu,Да
10,Квадратные корни,Решите задание на изображении.,6,8,14,26,2,"(√17−3)(√17+3)=17−9=8.",https://drive.google.com/uc?export=view&id=1mLj6dMXKFa_F8H7a5ADae1BUfd322DBy,Да
10,Система неравенств,Выберите правильный вариант на изображении.,1,2,3,4,3,"Первое неравенство даёт x>9, второе x>4. Пересечение — x>9, вариант 3.",https://drive.google.com/uc?export=view&id=1qYQbJTw1VrmxcrLzB1AIXfhXI-7xQxv7,Да
10,Кубическое уравнение,Решите задание на изображении.,"−5; −3; 3","−5; 3","−3; 3","3; 5; 9",1,"(x+5)(x−3)(x+3)=0. Корни: −5; −3; 3.",https://drive.google.com/uc?export=view&id=1ftM_RghwNKk04OBzkcFs_RqVQo5pEqdE,Да
11,Геометрия: описанная окружность,Решите задание на изображении.,2,3,3√2,6,2,"AB=2R·sinC. 3√2=2R·sin135°=R√2, поэтому R=3.",https://drive.google.com/uc?export=view&id=1_YF5chsNzNVpoi-Trhh76hXPC0Z5tZ5C,Да
11,Векторы,Решите задание на изображении.,5,8,10,√10,3,"a+2b+c=(0;10), длина вектора равна 10.",https://drive.google.com/uc?export=view&id=1aEpbnlxhBKGTY3-iNnVlvFZ6gJ3wRgqU,Да
11,Логарифмическое уравнение,Решите задание на изображении.,−5,0,5,10,3,"x²+2x=x²+10, поэтому x=5. ОДЗ выполняется.",https://drive.google.com/uc?export=view&id=1A8ESfc_p_sHn7MptvqHcxpjN0dTqvLYu,Да
11,Логарифмическая функция,Решите задание на изображении.,8,12,16,32,3,"По точкам графика a=2 и b=−3. −3+log₂x=1, поэтому x=16.",https://drive.google.com/uc?export=view&id=1CFgpU6KXrN0-u_hI5OxMTTBWd89mOWGB,Да
11,Вероятность,Решите задание на изображении.,1/10,1/5,1/3,2/5,2,"Вероятность: (4/6)·(3/5)·(2/4)=1/5.",https://drive.google.com/uc?export=view&id=1kYGaLgAfNVdG2v8jKOmNO5fQAHbJhujQ,Да
